,username,tweet,likes_count,sentiment_analysis,sentiment_value
327441,juan79407977,la ministro primero dijo que iba a ser obligatoria no es problema nuestro el problema es lo que ellos dicen y hacen anunciaron 22 millones de la vacuna rusa que nadie sabe si sirve ni los rusos al otro dia dicen que compraron 25 millones de la de oxford que tampoco nadie sabe,1,Negativo,1.0666628972122911e-24
184876,elabuelokraken,no pero la vacuna rusa es de mala calidad según la epidemióloga lilly tellez ya nomás me río de la pobre y mezquina oposición que ni siquiera tiene argumentos para oponerse a ver si se dan cuenta los mexicanos que nomás van a calentar las curules y a cobrar,1,Negativo,1.3508262867637284e-24
206755,victorfercon,la verdad que no se entiende a la gente si se decía que se aprobaba la vacuna rusa saldrían gente opuesta diciendo que eso sería ayudar a un país comunista pero como dijeron que no lo aprobaban ahora todos dicen que si se lo pondrían todo se trata de dar la contraria al gob,0,Negativo,1.7347309336558618e-24
104372,savage_nigth,shiny basantes jajajajaja da pena sus visiones primero dicen que lasso no va a traer vacuna rusa después dicen que el ministerio salud va ir el hijo de borrero y ahora dicen que romo jajajajajaja ya dan pena todavía les duele que lasso haya ganado mejor por que no se hacen un favor y se van,0,Negativo,2.5571353622510472e-24
180771,adcala_cl,hoy me dijo una compañera que no quiere poner la vacuna a su papá señor de la 3a edad que porque le dijeron que la vacuna rusa no la pueden usar los hipertensos y que como no se sabe de cual le va a tocar pues mejor no alguien que me confirme si es real lo que dijo,75,Negativo,2.571851353848232e-24
11380,mariaamaflorita,noticias lo peor de tu gobierno y de ser morado es que ni siquiera te das cuenta del daño que nos haces cuantos más muertos porque tu convenio junto con vizcarra les da más plata la corrupción es su más absoluto descaro la vacuna china ni siquiera llegó a la fase tres genocida,3,Negativo,4.4774015177676404e-24
164493,m1gu3l1n,en una desición de una persona para elegir algo si esa senadora da su opinión de que no sirve la vacuna rusa y esa señora por eso comentario no se pondrá la vacuna pues muy posiblemente esa señora ve que un politico no se pone el cubrebocas por que no le ve la,0,Negativo,6.697062484165484e-24
136344,alejandrofiliok,se quejaban de las vacunas sin publicaciones ni pruebas después se quejaban de la vacuna rusa después de que no había después de que había gente que no querían que les tocaba vacunarse después que se anotaron y todavía no les toca no hay pword que les venga bien eh,40,Negativo,8.931600345984955e-24
451279,jb_jonas_fans,la oms dice que la vacuna rusa no pasó las pruebas que no es segura etc mientras que ellos un día te dicen que el virus viene en los productos del mercado que es aeróbico que el cubrebocas no sirve después que sí sirve y así con todo son lo peor que le pasó al mundo,0,Negativo,9.228576056939835e-24
4418,vlzqzmica,una compañera empezó a decir que la vacuna china tiene efectividad del 3 y blabla y cuando le dije que no es la que se aplica en argentina me dijo que no le interesaba discutir cómo vas a ser estudiante de salud y creer lo que se canta el pingo la concha bien de tu madre,90,Negativo,1.3123891033764682e-23
201755,pjmsk224,dijo que no había estudio sobre el beneficio del cubre bocas allí si le hizo a caso al no hay estudios también dijo que no había evidencia de que las pruebas sirvieran y al no haber pruebas no las aplicaron de manera masiva la vacuna rusa no tiene estudios claros entonces,0,Negativo,1.3529938916935578e-23
298246,spypepe,dicen que dicen que la vacuna rusa no la quieren aprobar porque no reune las condiciones minimas dicen que dicen que la unica opcion es pfizer pero como el laboratorio ve el desastre que es el pais descreen que se pueda mantener la cadena de frio,0,Negativo,1.366506303238554e-23
227384,soy_politicon,sandra mi mujer y yo somos grupo de riesgo por la edad vivimos guardados lo que nos está haciendo un terrible daño psíquico podrías escribir un hilo con tu opinión sobre la famosa vacuna rusa la mitad de los médicos conocidos nos dicen que no la apliquemos,5,Negativo,1.5073055758789117e-23
112754,leloupmusicien,rp el de acá es todo lo contrario o algo así primero dice que no pueden comprar medicamentos extranjeros luego dijo que si no había medicinas aquí que las compraran al extranjero luego dijo que no iba a permitir entrar la vacuna rusa y ahora nos hizo conejillos de indias xd,0,Negativo,1.750898518664448e-23
208062,guillermogudio3,mx que lópez mande un mensaje a su pueblo bueno para que se pongan la vacuna rusa y santo remedio no importa que no haya sido aprobada si el mesías dice que funciona seguro funciona no en balde somos el peor país del mundo en manejar la pandemia esto sería una raya más al tigre,0,Negativo,2.777247699274497e-23
182972,samilacevedo,eso es todo manejo de información una revista no tan famosa como la última que dijo que era efectiva la vacuna dijo que la vacuna rusa era la mejor ya que no ocasiona contraindicaciones solo hasta ahora dicen que es buena ya que no hay vacunas y segundo las que hay son malas,4,Negativo,3.336756846886881e-23
13771,trollnuevosv,hoy estuve hablando con un doctor sobre la vacuna china y me dijo mirá la peor vacuna no es la china ni la rusa ni la astrazeneca no la peor vacuna es la que la gente no se pone por pendeja sabiduría pura,2,Negativo,3.785142246110001e-23
210639,elrichiie,no confundas amigo no he visto una publicación de la oposición deseándole mal nadie quiere que le vaya mal a méxico más de lo que ya le ha ido no se desea que la vacuna no sirva el problema es que la vacuna rusa no ha sido aprobada por inconsistencias en sus reportes,0,Negativo,3.999136468242968e-23
41518,verdades77777,peru señor por que no se puede negociar con otros laboratorios por que se ha cerrado la puerta a los rusos y demás por que no dicen el precio de cada vacuna china por que no se hace pública la lista completa por que no dejan que el privado pueda comprar las vacunas,0,Negativo,4.187246538468966e-23
213616,sixx123,palomo no no dice que no funciona pero si dijo que no hay evidencia de que lo haga y esas son las pruebas requeridas de la fase 3 y no las tiene esa vacuna rusa es lo que analiza la oms mientras no se tenga eso decir que si sirve es pura publicidad falsa y engañosa,0,Negativo,4.894777564296482e-23
10570,clauditie,no entiendo de qué efectividad hablan ahora parece que la vacuna china necesita 2 dosis en tiempo y forma ahora parece que hay que darse 3 el drlópez dijo que no se sabe la eficacia de una sola la verdad que necesita dos hacen lo que quieren sin fundamentación científica,0,Negativo,5.653709644673875e-23
266598,cepedapoesy,hermano no se trata de creer o de descreer acá el problema es que la vacuna rusa no pasó la fase 3 me parece que no da querer justificar la mala elección del gobierno para las otras vacunas dijeron que no porque pidieron términos inaceptables que los demás países firmaron,1,Negativo,6.448596079026482e-23
422943,adri_orz,no puedo creer que haya mucha gente que dice que no se va a poner la vacuna solamente porque la financia slim que si la vacuna rusa llega al país tampoco se la pondrían porque no quieren ser controlados por los rusos d nmmn han de ser los que salen a la calle como si nada,1,Negativo,6.777561396619843e-23
49854,paquitoflorez,esperaba que no haya sido la vacuna china porque no me parece que un país lucre con una enfermedad que ellos mismos crearon otros países no lo han hecho y otros países han tomado acciones más rápidas y efectivas no quiero compararnos con chile porque es odioso pero inevitable,0,Negativo,7.170444296011738e-23
281068,stone1971pablo,ponete la vacuna rusa nomás que no se sabe si sirve ni para qué porque no publicaron nada ni pidieron autorización a nadie salvo países bananeros como éste ni siquiera los mismos rusos se la quieren poner porque saben que tiene contraindicaciones hasta para ir al baño,1,Negativo,8.451877082404812e-23
263048,sbassi,circula mucha basura contra la vacuna rusa está nota como dice el título muestra las dudas razonables e incluso se queda corta y eso es debido a que el autor no es especialista en la materia entonces no dice que el informe del anmat deja mucho que desear por falta de datos,3,Negativo,8.49478550929397e-23
76656,jokerhelps,es obvio que el experto chino no va a decir que la vacuna china es mala si lo dice es condenado a pena de muerte por la dictadura genocida que gobierna a ese maldito país el coronavirus es lo único bueno que han creado los chinos todo lo demás es de mala calidad,0,Negativo,9.150330720973712e-23
284989,foraneostereo,esos datos son vacuna rusa no se ha probado que de inmunidad por ese tiempo porque todavía nadie lleva ni un año vacunado lo que se sabe de pfizzer es que la inmunidad es por lo menos de 52 días porque es lo que se puede probar con los vacunados hoy,1,Negativo,1.056092000015553e-22
63099,biodowbley,buen día si y ahora hay que bancar a la vacuna china todas cosas raras están tapando que no hay mercadería mi hermana me dijo que no hay aceite en día y vea yo hace tiempo me di cuenta pero acá decían que era por la pandemia que no dejaban entrar a los camiones,1,Negativo,1.058958708104222e-22
108194,omar34349,stone lo dan algo como hecho y ni siquiera tienen la aprobación ojalá sea así es como el presi dijo que la vacuna rusa se podía aplicar a gente mayor y putin a la hora dijo que no creo que se anticipan a cosas que podrían suceder y luego no suceden y festejan de antemano,0,Negativo,1.1711180692431882e-22
148895,ariwolko,lo peor de todo esto es lo siguiente supongamos que había que vacunar a todos los funcionarios porque la gente no se quería vacunar con la vacuna rusa y había que generar confianza porque ni guzmán ni zannini ni scioli ni sola ni los padres de massa lo subieron a las redes,0,Negativo,1.1882087325799948e-22
103055,w_chavarro,claro que si que se haya demorado en comprar vacunas le haya dado un manejo pésimo a la pandemia haya creado una gerencia de pandemia que no sirvió pa un culo y que ni siquiera quiera adquirir la vacuna rusa no tiene nada que ver con los muertos por el virus,1,Negativo,1.2959330088823894e-22
270540,a_alimena,la mayoría del pueblo le dice que no a la vacuna rusa y ellos te traen esa la mayoría del pueblo dice que no al aborto y ellos lo quieren aprobar pero ellos te dicen que cuidan del pueblo que negociado habrá tras ésto se dan cuenta que el problema son los políticos,2,Negativo,1.3717908569884868e-22
344289,gabitapuntocom,te dijeron que el virus no existía te dijeron que no hagas cuarenta te dijeron que la vacuna rusa es mentira ahora te dicen que no te vacunes juegan con la vida de la gente no hay dudas de que son criminales,0,Negativo,1.5062887959601722e-22
109622,cabescbaescab,nos dijeron que para diciembre iba haber 10millones de vacunas nos dijeron que la vacuna rusa estaba probada nos dijeron que ibamos a recibir las 2 dosis no cumplieron nada ahora nos quieren encerrar de nuevo prohiben circular después de 20hs como si fuera mejor,0,Negativo,1.5898286347467378e-22
204670,paolacfj,no sé rechaza la vacuna rusa se cuestiona esa vacuna como de vacunan todas lo que se rechaza es que nos dicen que se compró otra luego que se renunció a ella y cuando se descubre que no hubo compra se enferma lópez y se anuncian las no aprobadas raro raro,0,Negativo,1.9399307649640709e-22
41349,mejiamva,la vacuna china será muy china lo digo porque cuando describimos un producto de mala calidad por algo le decimos eso es como chino falso chiviado no se pero dicen que a caballo regalado no se le mira el diente aunque es mi salud la que depende de eso difícil decisión,0,Negativo,2.009644957769976e-22
387786,prolechino,el pdte de la federación médica venezolana dice que no aprueba la vacuna rusa porque putin dijo que estaba en la fase 1 y también porque no se la aplicaron a los animales esos mismos técnicos científicos son los que nos dicen que vamos a llegar a 14 mil casos en diciembre,1,Negativo,2.0331030666740985e-22
428201,eamorone,eldiario pero que loco capulla o como se escriba discrimina la vacuna rusa quien le dijo que los rusos no probaron la vacuna co más d 100 mil soldados si el mismo dice que no se sabe como la d oxford que tampoco se ve que el no sabe nada,0,Negativo,2.1834333153242832e-22
154065,mausldu,y que por ahí dicen la vacuna rusa panas parece que no se enteraron rusia dijo hoy que no tiene la capacidad de atender todos los pedidos de su vacuna entonces quieren traer la china ni loco me pongo esa decir que tengo que esperar hasta los últimos para poder vacunarme,0,Negativo,2.3216761016643435e-22
54712,alfacommie,es que esto es surrealista viene ese tipejo llamado orbán que idiota no es y lo primero que hace es comprar la vacuna china porque ya va viendo el percal reino unido y eeuu como es normal nos dicen que se retrasan con la entrega porque primero tienen que vacunarse ellos,5,Negativo,2.347222385541431e-22
109361,margaraanjaris,que raro que acepto la vacuna que le dieron a este mala persona no estaba con los que no querían vacunarse y menos con la vacuna rusa todos estos van a tener que pedir por favor que les den esta vacuna y llegado el caso tener una cama libre si se contagian que no hay,0,Negativo,2.4555255555624086e-22
165609,pmgm63,lo que no se dice o por lo menos no lo suficiente y la gente en general no lo sabe es que la vacuna rusa y las desarrolladas en china se han ofrecido a la oms para ser elaboradas en cualquier laboratorio y que no se ha registrado la patente para que no hayan obstáculos,24,Negativo,2.585689372663397e-22
165579,luisprezgarca8,lo que no se dice o por lo menos no lo suficiente y la gente en general no lo sabe es que la vacuna rusa y las desarrolladas en china se han ofrecido a la oms para ser elaboradas en cualquier laboratorio y que no se ha registrado la patente para que no hayan obstáculos,1,Negativo,2.585689372663397e-22
180599,ponchogutz,si la revista the lancet dice que méxico es el peor país para vivir la epidemia sí le creen si la misma revista dice que la vacuna rusa tiene buena eficacia entonces ya no le creen y luego dicen que los chairos son los maromeros,419,Negativo,2.594263963567319e-22
178626,elchairomantico,si la revista the lancet dice que méxico es el peor país para vivir la epidemia sí le creen si la misma revista dice que la vacuna rusa tiene buena eficacia entonces ya no le creen y luego dicen que los chairos son los maromeros,67,Negativo,2.594263963567319e-22
179740,77fransoa,lo pide por que gracias a tu comentario que la vacuna rusa es chafa y de mala calidad que crees te hicieron caso no se van a vacunar por que tienen la cabeza hueca como tu haste responsable por tus actitudes traidora chapulina muchos mexicanos van a morir por tu culpa,0,Negativo,2.6805258107489963e-22
241758,yoopino2021,me gustaría ver que se ponga la vacuna rusa si esa misma vacuna que ya no sirve porque rompio la cadena de frio esa misma vacuna que no esta aprobada esa misma vacuna que ni putin quiere ponerse porque dijo que no es apta para mayores de 60 años,0,Negativo,2.7522722037039466e-22
152957,queusermepongo,el tema es que se pierde una primera dosis que en la vacuna rusa es diferente del compuesto de la segunda y al final la vacuna debe ser coletiva no se si se entiende mi punto mal que me pese ahora necesita la segunda para que no haya sido al pedo la perdida con él de la primera,0,Negativo,2.925873934147444e-22
269280,emilia_1943,el dijo que tenia la vacuna rusa pero que no se la daria hasta que los argentinos nos vacu ramos y ahora dice que no se vacuna no la tuvo nunca es un mentiroso para que la gente lo apoye dice cualquier cosa es un mentiroso,0,Negativo,3.508561284182181e-22
186674,amiribrahimqroo,y me podría indicar donde dice que la vacuna rusa es de mala calidad es que lo revise varias veces y jamás encontré que la oms dijiera que es de mala calidad,0,Negativo,3.7028603236056514e-22
203884,queretana9,es increíble lo mal y pésimo que ha manejado este gobierno la pandemia no hay segunda dosis de vacunas para los que ya están vacunados quieren traer la vacuna rusa que ni putin ni la mitad de los rusos se quieren poner es un desastre este mugre gobierno,4,Negativo,4.704613412771633e-22
6928,cristisues,a mi me vacunaron con la china hace unos días primero no me dijeron segundo cuando me iba me dicen en 90 días los llamarán de nuevo me pusieron agua y ahora ni se para que sirvió es una vergüenza lo que están haciendo somos la fase 3 de la vacuna china,1,Negativo,4.966250458076195e-22
202679,jltlicr,el dr gatell diciendo que no se debe usar la vacuna rusa spunik v si no se ha terminado la fase 3 que no es ético ahora que aprueba su uso hizo algo que no es ético en sus propias palabras se dobla para donde le pida su protector no tiene coherencia ni ética tal decisión,0,Negativo,5.209872853962534e-22
12311,constitucionrp,sigo diciendo que no me pongo la vacuna china primero muerto que tristeza y hoy le quito todos los méritos que le había dado a minsa porque ya se les borró la mente ya no recuerdan donde dicen que se escapó el virus y mi pregunta si es que se fabricó cuál era el objetivo,0,Negativo,5.287162470571803e-22
205762,nosirrah35,como dice la dra no podemos decir que la vacuna rusa es mala ni buena por qué efectivamente no han publicado ningún dato en la comunidad científica mundial para validarla pero dice que los argentinos le dijeron que no pasa nada solo soy gatell crean,0,Negativo,5.528719044817717e-22
293838,mariano3601,aparentemente lo que dijo es que todavía no se la iba a poner porque no estaban completos los estudios para su grupo etario no que no servía ni que no se la iba a poner toma en cuenta también que la cipayada esta ardida con la vacuna rusa porque es cagó el negocio,0,Negativo,5.892498560134168e-22
56581,leotrujillo_uy,en resumen el gobierno dice que trae la vacuna china pero el laboratorio dice que no el gobierno dice que trae los freezers pero el gobierno dicen que ya están y funcionando el gobierno dice que van a europa a buscarlos pero el gobierno dice que a usa viva la pepa,165,Negativo,6.016596730912263e-22
201954,nahueesarmiento,mi viejo me dijo que ni empedo se pone la vacuna rusa xq dice que no se va a andar poniendo cosas que no saben qué tiene jajajaaja rafa tomas vino uvita desde lo 16 años que te haces el delicadoooo,9,Negativo,6.198705712936352e-22
226404,_riesgo_,hoy le dije a un amigo q por la vacuna rusa habían 23 muertos y me pidió el link para compartirlo cuando le dije q los muertos era de la pfizer dijo q había q ver e incluso cuando le mande el link de clarin no lo quiso compartir no importa la verdad si no lo q quieras creer,0,Negativo,6.6045215564305655e-22
42631,mendietaivan,viendo de forma positiva toda esta pobredumbre ética al menos los antivacunas y fujimoristas que decían que la vacuna china era la peor y que jamás se iban a vacunar ya cambiaron su opinión y resulta que si funcionan a la perfección y ahora quieren vacunarse vacunasvip,5,Negativo,6.685608237666272e-22
121896,tincho_32016,recién me crucé un vecino de mi edificio grupo de riesgo que le aplicaron la vacuna rusa por primera vez me dijo que quedó hecho pomada me dijo que jamás se sintió tan mal conocen algún otro caso así,1,Negativo,8.327444934872637e-22
257184,lacludy,hace un rato mi mamá me preguntó qué dice el doc con el que trabajo sobre si vacunarse o no obvio que sí má no porque el médico de fulana le dijo que él no se va a dar la vacuna rusa y si mamá hay gente que dice que la tierra es plana así que imaginate,5,Negativo,8.671446292457839e-22
174002,anaidreinoso,es para mi tu respuesta por que no le veo el sentido soy la que más se ha quejado por el manejo de la pandemia pero de eso a atacar todooo nada más por que ya estoy harta pues no va o sea la vacuna rusa les salió bien y que bueno espero que de verdad lleguen pronto,5,Negativo,8.78949068365301e-22
150012,carlescarles1,pero si la vacuna rusa no era veneno posta que se quieren meter eso en el cuerpo ahora la quieren no eran un desastre por comprar la peor vacuna y ahora se enojan porque no hay que extraño todo son la gata flora al final,0,Negativo,9.661127511522457e-22
428659,elpark77,capaz que yo no sé nada de vancunas y ensayos clínicos pero la vacuna rusa pasó la fase 2 que es lo que ya habían alcanzado otras vacunas se saltean la fase 3 y la mandan a la población suerte en pila si llega a tener alguna contraidicación que no haya sido detectada en 2,0,Negativo,9.984234657601837e-22
8730,imagenderadio1,chile que consiguio ingnorante pfiser no le entrego nada del pedido que pago chile por eso tubo que ir a comprar la vacuna china y compro la peor que solo te ayuda en un 50 para eso es mejor que no te pongan nada asi mismo termino cerrando todo o no te enteraste,0,Negativo,1.0378996466338862e-21
174732,pakechii,país en el que están mame y mame que no quieren la vacuna rusa porque según ellos es de pésima calidad les dicen que se las van a poner y saturan el sistema a los 15 minutos y ahora se quejan porque no se pueden registrar para una vacuna que ni querían mivacuna,19,Negativo,1.0775442741423379e-21
16722,darthcheetos12,lo único bueno de su vacunación es que deja en evidencia que este remedo de gobierno es muy estupido al creer que la gente que tiene dinero va a esperar hasta no se sabe cuando a que llegue la vacuna china por lo demás ha cometido lo mismo que se le critica a astete,0,Negativo,1.1272364833611202e-21
14744,isla_de_amor,lo peor es que la mayoría de criticones a la efectividad de la vacuna china son los mismos que toda su vida han demostrado que son peor que made in china tan falsos como personas hipócritas y corruptas que evaden pagar impuestos y no son muy servibles de mala calidad,1,Negativo,1.1399045005824773e-21
65106,roberto23_val,da risa y lastima este señor que si compran a pfizer porque tan caro que si no le compran porque no fue pfizer y si la vacuna china o inglesa nunca parara de joder y el pueblo lo sabe por eso no ganara nunca más una cartera de ministro ni nada político de medio pelo,0,Negativo,1.1454731862621005e-21
231903,ricardus_rex,yo tengo un amigo que trabaja en sanidad se puso la primera dosis preguntó si era verdad que no se podía beber que el rumor circula por la vacuna rusa pues le dijeron que no tienen ni idea que 4 horas antes y 4 después para ir sobre seguro y luego recomiendan una semana,0,Negativo,1.185702977250096e-21
257074,colecuervo,amestoy hola ivan creo que estamos hablando de temas que no conocemos un mal nuestro yo no entiendo nada de vacunas nunca pregunte de que país es las que me dieron ahora la duda se hace grande cuando el infectologo debbag dice no me doy la vacuna rusa no es mi tía rita que hago,0,Negativo,1.2143452503824514e-21
176646,julidicecosas,ayer llamé a mi madrina pero le tuve que cortar pronto por qué me dijo que ni loca se pone la vacuna rusa ni la china pero esta dispuesta a tomar un antiparasitario para animales en caso que le agarre covid y como haces para continuar esa conversación nocierto,3,Negativo,1.295926050271638e-21
341702,harpa77494652,pero no es éste el caso porque estos lo que no quieren es la vacuna rusa pero sí el amparo se lo van a dar por lo que te dije arriba vacuna en prueba el problema no es que se contagien ellos es que contagien a la franja etaria que no se vacunará los chicos,0,Negativo,1.355114041929817e-21
187988,galaromani,yo no entendí nunca por qué no se compró la vacuna rusa o no se utilizó la fórmula que los chinos dijeron que compartirían con el resto del mundo gratis para que fabricasen vacunas ni entiendo por qué se decidió comprar a los de siempre que no tienen palabra ni educación,611,Negativo,1.4620443680085807e-21
182940,lector5punto0,y el telediario me dice que ella no se pone la vacuna rusa con ese nombre y ojo que es aragonesa y no se apea del carro le digo que no nos van a decir la que nos ponen y me dice si nos pinchan y me levanto hablando en ruso es que nos la han colado,2,Negativo,1.5165132386304913e-21
150541,budijoly,sembrar la duda es decir que no hay pandemia que es una gripecita que estamos en infectadura que no estamos en infectadura pero se parece que la vacuna no sirve que la vacuna rusa es la peor que ahora queremos la vacuna pero no hay que chupala culo roto,0,Negativo,2.0843725333739306e-21
199187,nakdrid,ayer se lo comenté a un amigo y me dijo q él no se ponía la vacuna rusa de ninguna de las maneras que no se fía que él se pone la americana y que ellos la han desarrollado pues es normal que nos den lo que les sobra y tan tranquilo se quedó de la cubana se decojonó directamen,0,Negativo,2.110025647873772e-21
92762,mlaboratorio,ud ni sabe leer e interpretar como muchos colombianos por falta de educación de calidad así las cosas no se da cuenta como están las cifras en cuba y colombia hoy solo con eso da vergüenza su comentario mañana con que va a salir con que la vacuna china o rusa tampoco pasa test,0,Negativo,2.2292149322420108e-21
132539,jirji_,a tristemente es una batalla perdida recuerdo este verano una persona q dijo que sólo se fiaba de la de oxford astrazeneca q de los comunistas no se fiaba y que jamás se pondría ni una vacuna rusa ni china ahora protestan porque no se pone la spunik y la de oxford es la peor,2,Negativo,2.4798140072495013e-21
205615,foxsan6,la vacuna rusa no está aprobada científicamente pero él que cree que sirve para lo que no sirve gatell dice que está científicamente comprobado que la vacuna es científicamente eficaz en lo que no se necesita porque de nada serviría que sirviera para lo que se ocupa así veo,0,Negativo,2.48892388492646e-21
109848,juana_online53,vacuna rusa no por favor esas vacunas de ellos entraron de eu q no quepan dudas a nadie por q creen ustedes q ni el covid les entra pobre de nosotros q no tenemos nada y ni se menciona nada encierro y nada mas ni siquiera dan epd a los fallecidos,2,Negativo,2.9605138940626146e-21
373555,somosjoseisrael,me llamó un panita bien temprano estaba tosiendo mucho me dijo ni pendejo que fuera para ponerme esa vacuna rusa le dije qué prefieres que te joda el virus o esa vacuna me dijo voy a esperar la otra vacuna le pregunté cuál y me dijo la misma que espera trump,7,Negativo,3.0006821710465374e-21
30505,ultradirector,le digo que deje de ver willax que no crea al canal que le dice que tome ivermectina me dice que no confía en la vacuna china y no dejará que mi abuela se la ponga le digo que lamento que mi abuelo haya muerto de covid pero esta creyendo una mentira que le duele me corta,0,Negativo,3.1555246775015546e-21
46706,carmendltm,ojala puedas seguir compartiendo tu experiencia en toda plataforma que tengas ayudaria mucho despues de que tantos decían que la vacuna china no servía que era la peor y más cara que esperarían a ver si funciona antes de ponersela se arañan es triste por eso no avanzamos,1,Negativo,3.299322495407001e-21
309118,barchumin,en la reunión chota de la semana pasada estaban diciendo que habían leído en twitter que la vacuna rusa no sé que y les dije que no sabía wmpezaron ay pero cómo no lo viste está en twitter yo no sé en mi twitter hay michis y gente que ve a maradona en manchas de aceite,0,Negativo,3.638879932628973e-21
413113,zhalo05,por favor cumpla su promesa de ponerse la vacuna rusa o diga que usted es un idiota y que los uribestias teníamos razón no creo que haga ni lo uno ni lo otro porque usted no tiene ni pantalones ni palabra ni vergüenza ni uso de razón,0,Negativo,3.851574992962717e-21
115161,enriqueobrero,por qué la agencia europea del medicamento aún no ha estudiado la aprobación de la vacuna rusa seguridad o política precaución o burocracia la gestión sobre el tema vacunas de la ue deja mucho que desear algo mejor que la oms eso sí que aún no se aclarado de casi nada,3,Negativo,3.9127748344663505e-21
53174,ophelia_norden,a mi mamá alguna vieja culiá le dijo que no se vacunara con la vacuna china porque era mala se dan cuenta lo que produce la ignorancia y la señora es tan terca que ahora no se vacuna ni porque se esté muriendo que rabia que tengo,1,Negativo,4.153966886128709e-21
53058,miguel31680646,bueno la mayoría entendió como cuando dijo que no se vacunará con la vacuna china o que que ya tiene plasma con anticuerpos y que por eso no usaba mascarilla y que no volverá a tener covid habiendo un grupo que lo escucha es responsable lo que dice,1,Negativo,4.258539121202801e-21
27108,miguela02154313,alguien sabe si la vacuna china es la misma en todo el mundo se sabe qué hay 2 versiones por lo que nos dijo ortiz él gobierno no dice nada por qué no sabe y ni le interesa miserables con la vida de los peruanos no se juega,0,Negativo,5.058509684133085e-21
148191,betana231,igual no le creo ni me importa su opinión se canso de hablar mal y hacer campaña a algo que sabía muy bien que estaba mal dijo de todo de la vacuna sputnik v la llamaba la vacuna rusa y siempre la quiso lo q pasa que hizo campaña igual que su nieta no le creo es vieja no tonta,3,Negativo,5.553110751267547e-21
