,date,username,tweet,likes_count,sentiment_analysis
191382,2021-01-31,frankl70305825,en fuerte apache echaron a la cámpora y a barrios de pie que iban a innscribir para la vacunación con vacuna rusa,6484,Neutro
212869,2021-01-26,jgnaredo,por qué está cuestionando tanto la vacuna rusa qué intereses hay detrás de esa campaña negra quién le pidió a lilly téllez que emprendiera una guerra sucia contra una vacuna por qué ahora lo único claro es que a téllez lo que menos le importa es la gente,6317,Negativo
195027,2021-01-29,martibatres,ahora resulta que la vacuna rusa no debe utilizarse porque el gobierno de ese país es autoritario y las vacunas producidas en inglaterra y bélgica serán malas por monárquicas el oscurantismo medieval de la derecha mexicana,6273,Negativo
186093,2021-02-02,lillytellez,el gobierno mexicano lo ha hecho al revés primero compran y luego averiguan la vacuna rusa debe cumplir los requisitos para obtener el aval de la ue la fda la oms es muy buena noticia que la publicación de hoy ayudará a lograr el reconocimiento científico,6239,Negativo
209869,2021-01-26,lillytellez,dije la verdad la vacuna rusa no tiene autorización de la oms ni de la comunidad científica internacional alemania va a ayudar a los rusos a que cumplan los requisitos y solo entonces les comprarán vacunas la respuesta de morena es llamarme terrorista,6176,Negativo
188062,2021-02-02,rochaperiodista,a qué hora se reúne el comité de vacunólogos a cargo de lilly téllez para avalar el artículo de the lancet que destaca la eficacia de la vacuna rusa sputnik v,6082,Negativo
195327,2021-01-29,lillytellez,piden disculpas los a rusia por que méxico ha puesto en evidencia que su vacuna no cumple los requisitos sanitarios que marcan los estándares internacionales y festejan el único aval que tiene la vacuna rusa el de rusia perversos mentirosos y arrastrados,6066,Negativo
184811,2021-02-02,chumeltorres,vacuna sputnik v contra covid 19 registra una efectividad de casi el 92 the lancet aquí siempre se dijo confianza total en la vacuna rusa,5981,Negativo
194718,2021-01-29,jorgeberry,me cuentan que el fracasado humorista de buró de me menciona hoy en su artículo al servicio de la 4t dice que junto con otros desprestigio la vacuna rusa no se puede despretigiar algo que no tiene prestigio el prestigio se logra publicando,5883,Negativo
191325,2021-02-01,marfilu_,mi abuela después de haberse puesto la vacuna rusa,5654,Negativo
181783,2021-02-02,nessnio,entonces prefiere comprar vacunas a 25 con menos efectividad que comprar la vacuna rusa que solo cuesta 6 y tiene una eficacia superior al 91,5220,Negativo
207659,2021-01-26,lillytellez,no dice nada sobre la falta de aval de la oms y de la comunidad científica internacional para la vacuna rusa con frivolidad y ligereza él evade el tema con la misma negligencia criminal que ha manejado la pandemia,5179,Negativo
196151,2021-01-29,aleladybird,ya me puse la vacuna rusa y no tuve ninguna reacción todo bien 5 minutos después,5082,Negativo
211244,2021-01-26,leonkrauze,la vacuna rusa no ha sido aprobada por la fda para su uso en estados unidos la news tampoco ha publicado su análisis final sobre la sputnik v esos son los hechos no la descalifica a futuro pero esos son los hechos hoy veremos qué dice,5077,Negativo
193325,2021-01-30,lillytellez,vacuna rusa otra vulgar mentira de al presidente,5033,Neutro
217528,2021-01-24,merito_crata,ayer peluquero yo la vacuna rusa no me la doy tengo una amiga que trabaja en el hospital militar y me contó que en las pruebas se murieron dos tipos y que eso se ocultó yo en el hospital militar se probó la vacuna de pfizer no la sputnik bueno igual hay que cuidarse,4964,Negativo
200658,2021-01-27,lillytellez,no son mis opiniones usted está descalificando como ligeras las decisiones de la ue la fda los gobiernos de alemania ru y la comunidad científica internacional de negar el aval a la vacuna rusa usted atenta contra la salud politizó la pandemia a su interés,4955,Negativo
192284,2021-01-31,bisoucaramei__,levanta la mano si estás a favor de que se vacunen los amlovers con la vacuna rusa,4902,Negativo
52053,2021-02-04,doctor911_cl,a 1 dia de vacunarme con sinovac vacuna china sutil molestia local del hombro me siento casi inmortal,4870,Negativo
189814,2021-02-02,dw_espanol,la vacuna rusa contra el covid19 sputnikv tiene una eficacia superior al 91 según estudio de ensayos publicados por la revista especializada the lancet cp,4867,Neutro
202555,2021-01-27,makugo,con la salud no se juega la vacuna rusa no tiene aprobación científica el cobarde ataque a la sen pretende tapar un fracaso más del gobierno federal están completamente rebasados sus decisiones solo terminan afectando más a todos los mexicanos,4775,Negativo
189870,2021-02-02,exagerardez,la vacuna rusa que según la revista de medicina más prestigiosa del mundo tiene 91 6 de eficacia sin efectos adversos graves no hubiera llegado a argentina si a mauricio macri no lo hubiéramos sacado en primera vuelta todo lo demás es literatura,4492,Negativo
57952,2021-01-25,socioperiodismo,me meto dióxido de cloro como si fuera un acto de fe me mando con la ivermectina es decir experimento con mi organismo a pesar de las recomendaciones del la ciencia seria pero le tengo miedo a una vacuna china aprobada por la oms porque es china plop,4368,Negativo
208334,2021-01-26,a_ausdenruthen,yo estoy a favor de que vacunen al ejército electoral del peje mejor conocidos como siervos de la nación con la vacuna rusa,4357,Negativo
187209,2021-02-02,cnnee,la vacuna rusa sputnik v tiene un 91 6 de efectividad para prevenir el covid 19 sintomático y es 100 efectiva para prevenir enfermedad grave por coronavirus según un análisis provisional publicado este martes en la revista médica the lancet,4351,Neutro
204208,2021-01-27,huidobropacorro,no está científicamente comprobado que el cubrebocas funcione no es necesario no está comprobado que la vacuna rusa funcione deme 25 millones,4338,Negativo
188988,2021-02-02,juli_strada,qué demoledora esta noticia 91 de efectividad para la sputnik v me pregunto si todos los que sembraron incertidumbre sobre la vacuna rusa ahora van a fingir demencia,4245,Negativo
166088,2021-02-07,luisnovaresio,el presidente dice q la corte está poco calificada y q milagro sala es lawfare si rosenkrantz o lorenzetti dicen q él está poco calificado q pasa o si los jueces jujeños recuerdan los 25 null de dosis de vacuna rusa q pasa división de poderes se estudiaba en la secundaria,4227,Negativo
169408,2021-02-05,pablom_m,de la vacuna rusa no os fiáis pero con la de johnson amp johnson que empezará a distribuirse en el mes de abril no hay problema a pesar de que la compañía estadounidense supo desde 1971 que sus polvos de talco contenían amianto y no lo retiró del mercado hasta 30 años después,4159,Negativo
209292,2021-01-26,lillytellez,soberana estupidez solo con mentiras y golpes bajos atacan son pandilleros de las redes quieren ocultar que la vacuna rusa no tiene aval de la oms ni de la comunidad científica internacional,4134,Negativo
204297,2021-01-27,lillytellez,el imss debería exigir que la vacuna rusa se aplique hasta que tenga las credenciales de seguridad de la oms la unión europea la fda y la comunidad científica internacional el imss debe velar por la salud de los mexicanos sobre los intereses políticos de morena,4123,Negativo
210348,2021-01-26,ma_toscano,me entero que ya autorizó la vacuna rusa sputnik para méxico algunas reflexiones 1 la vacuna rusa tiene ya la revisión de la como lo ha hecho con otras vacunas si la respuesta es no por qué autorizarla en méxico 1 de 3,4015,Negativo
206710,2021-01-27,jgnaredo,oye y cuál es el proyecto de país que enarbola la oposición en méxico pues ahorita andan en que la vacuna rusa es lo peor,4006,Negativo
194773,2021-01-29,rudolf_hommes,por que no dejan que los laboratorios privados como genfar tecnoqumicas y otros importen la vacuna rusa y la china y nosotros decidimos si nos la aplicamos y cuando el gobierno por fin de desenrede nos ponemos la otra,3945,Negativo
204270,2021-01-27,teamotiorober,paren todo al parecer la vacuna rusa si tiene efectos secundarios,3933,Positivo
208056,2021-01-26,lillytellez,no es mentira senadora la vacuna rusa no tiene aval de la oms ni de la comunidad científica internacional qué sucio su papel de cómplice y gatillera de lópez gatell y luego ni las gracias le dan,3878,Negativo
201059,2021-01-27,liebano,en algún otro momento esto era lo que opinaba el dr sobre la vacuna rusa sputnikv ensuspropiaspalabras,3811,Negativo
212371,2021-01-26,syzavel19,son rete curiosos un empresario dice tener contrato para traer la vacuna rusa a méxico medios opinadores y oráculos aplauden y anuncian a 8 columnas se desmiente el supuesto contrato y enmudecen habla con putin y la vacuna vendrá y en coro la descalifican,3793,Negativo
209247,2021-01-26,leozuckermann,hola doctor en la última entrevista que le hice me dijo que usted se pondría la vacuna rusa si la la aprobaba hoy la aprobó sigue recomendándola muchas gracias por su atención y respuesta,3729,Negativo
182998,2021-02-02,luisgasulla,que la vacuna rusa no tape su miserable utilización política partidaria ni el pisoteo a los derechos humanos en formosa o santiago del estero que no tape el plan de impunidad y venganza la agenda de cristina no es la agenda del pueblo,3723,Negativo
196898,2021-01-28,jenarovillamil,méxico no compra vacunas de segunda vacuna rusa tiene 94 de eficacia shcp,3723,Neutro
189029,2021-02-02,mjduzan,argentina le apostó a esta vacuna rusa y la tiene colombia decidió no pensar en esa posibilidad por que no tenía estudios ahora que los tiene y es efectiva van a comprarla,3719,Negativo
169375,2021-02-05,inafinogenova,por qué desconfiabamos de la vacuna rusa se preguntan el 4 de febrero porque no teníamos suficiente información se tranquilizan señores el 90 de información que dais como un descubrimiento en esta nota estaba disponible hace meses e incluso años,3671,Negativo
205326,2021-01-27,cirogomezl,según un texto difundido en argentina por investigadores y medios la vacuna rusa sputnikv debe aplicarse con precaución en personas con diabetes enfermedades renales hepáticas cardiacas entre otras a méxico podrían llegar 24 millones de dosis de esta vacuna,3663,Negativo
176079,2021-02-03,tatatamzzz,mi mamá después de ponerse la vacuna rusa,3619,Neutro
193828,2021-01-30,federicoarreola,vacuna rusa otra vulgar mentira de al presidente,3601,Neutro
53410,2021-02-02,lavidadenicol,la vacuna china es del mismo proveedor de la vacuna de la influenza que se ponen todos los años,3595,Negativo
199571,2021-01-28,cirogomezl,no se puede utilizar una vacuna que no haya terminado satisfactoriamente los estudios de fase 3 aseguraba el dr en agosto ahora el está apostando a la vacuna rusa sputnikv,3587,Negativo
208610,2021-01-26,ross_marz,la vacuna rusa es como la mayoría de integrantes de la 4t sin estudios comprobados marcapatito,3451,Neutro
176458,2021-02-03,arelipaz,y ahora la cargada es contra cuestionó la vacuna rusa y ya es parte de una pregunta en donde se pide si habría revocación de mandato a senadores bienraro,3369,Negativo
215310,2021-01-25,mae_rusia,vladimir putin y su homólogo mexicano discutieron la lucha contra el covid19 las medidas de seguridad epidemiológica así como el suministro de la vacuna rusa a méxico y la capacitación de los médicos mexicanos en rusia,3362,Negativo
179818,2021-02-02,embrusiamexico,excelente noticia el regulador la comisión federal para la protección contra riesgos sanitarios aprobó el uso de emergencia de la vacuna rusa sputnikv juntos venceremos al covid 19,3237,Positivo
189967,2021-02-02,actualidadrt,la prestigiosa revista médica the lancet publica los resultados preliminares del ensayo de fase iii que muestran que la vacuna rusa sputnikv contra el covid 19 no tiene efectos secundarios graves y es eficaz para todos los grupos de edad,3233,Negativo
181168,2021-02-02,hanalfabeto,ahora que se demostró que la vacuna rusa es fantástica nosotros vamos a comprar la china porque nos gusta probar cosas nuevas qué país,3163,Negativo
51175,2021-02-05,fabriziomejia,que dice camín que la vacuna china sólo va a servirle a las poblanas,3144,Negativo
213495,2021-01-25,g_quadri,cómo es que lópez va a comprar la vacuna rusa que no está aprobada por la oms o fda que no ha pasado por la fase iii y que ni siquiera putin se la pone,3048,Negativo
180117,2021-02-02,alvaro_delgado,ojo autoriza la vacuna rusa sputnik v dice,2995,Neutro
168118,2021-02-05,hdemauleon,esto es lo que escribió sobre la vacuna rusa por lo menos tómense la molestia de leer la columna anden les toma dos minutos si ya luego gustan exhibirse en todo su esplendor adelante,2959,Negativo
171359,2021-02-04,sinlinea_mx,el nobel de medicina peter doherty aplaude vacuna rusa chin pero lilly téllez no ahora qué hacemos confíoensputnikv,2921,Negativo
189972,2021-02-02,afpespanol,últimahora la vacuna rusa sputnik v tiene una eficacia superior al 91 the lancet afp,2914,Positivo
183023,2021-02-02,restrepojcamilo,la argentina se anotó un gran punto apostándole en grande desde primera hora a la vacuna rusa sputnik,2901,Positivo
195534,2021-01-29,doctormosqueda,yo no me pondría la vacuna rusa no conozco los resultados de fase 3 le da un trago a su dióxido de cloro,2883,Negativo
214677,2021-01-25,aracelibs,si los seguidores de lópez confían tanto en la vacuna rusa sputnik v por qué se enojan si digo que se la pongan ellos ah por cierto yo no les puse mascotas fue el ᵖʳᵉˢⁱᵈᵉⁿᵗᵉ,2871,Negativo
175533,2021-02-03,doctormacias,en artículo sobre la fase de 3 de la vacuna rusa en lancet es interesante que ya no se refieren a la vacuna como sputnik v un nombre político sino como gam covid vac gam es por gamaleya el instituto productor,2857,Negativo
207701,2021-01-26,garcimonero,a mi marido le pusieron la vacuna rusa y se volvió putin,2818,Negativo
204869,2021-01-27,danielsabsay1,la saga de la vacuna rusa se ha convertido en un sainete de cuarta estamos en las manos de putin sin alternativas pinocho uvita filomena y ella la dueña del circo lo hicieron si no fuera una tragedia para la salud de los argentinos sería para morirse de risa,2813,Negativo
54098,2021-02-01,jercbm,rafael lopez aliaga confió en bartra vilcatoma maelo y castañeda y no confía en la vacuna china cuartopoder,2756,Neutro
165894,2021-02-07,nicolasmaduro,en venezuela solo está probada científicamente la vacuna rusa sputnik v es la más segura que hay en el mundo es inocua con 92 de inmunización y nosotros estamos articulando esfuerzos para garantizar las dosis necesarias para nuestro pueblo no bajemos la guardia,2694,Negativo
171083,2021-02-04,mariettoponce,a ver cabrones no se van a poner la vacuna rusa que ya presentó los estudios de su fase iii y tiene más del 90 de eficacia y está por aprobarse en europa y eu pero toman dióxido de cloro están locos todas las vacunas son bienvenidas,2690,Negativo
189139,2021-02-02,eltiempo,atención vacuna rusa sputnik v tiene eficacia superior a 91 según estudio más detalles aquí,2684,Positivo
188550,2021-02-02,pedritoextranja,trajeron vacunas para ellos solo para los bacanes nunca hicieron el mínimo contacto para traer la vacuna rusa q tiene 91 de efectividad es más fácil de conservar y es mucho más barata insisto lenin moreno y sus secuaces deben terminar sus días en la cárcel,2592,Negativo
197414,2021-01-28,fisicoimpuro,olvídense también de la vacuna rusa sputnik v porque si no fueron capaces de conseguir un equipo de personas que supiera hablar ingles mucho menos van a conseguir uno que hable ruso,2531,Negativo
194992,2021-01-29,caraveobertha,en primer lugar senadora la vacuna sputnik v ha recibido el impulso y apoyo de la canciller alemana angela merkel para su homologación en europa en segundo denota poco conocimiento geopolítico creer que la fda aprobará alguna vacuna rusa,2518,Negativo
203343,2021-01-27,julenrementeria,coincido con la sen la vacuna rusa no está aprobada por la fda la oms ni por la comunidad científica internacional vamos a invertir todos los recursos necesarios para decirle a los mexicanos no se la pongan hasta que la aprueben todos estos organismos,2498,Negativo
187188,2021-02-02,lillytellez,es lo que he pedido que la vacuna rusa cumpla los requisitos para que sea aprobada por la ue y la fda tal como lo prometí seré la primera en aplaudirla cuando logre el aval de dichos organismos los mexicanos merecemos vacunas de primera,2490,Negativo
206460,2021-01-27,cirogomezl,según un texto difundido en argentina por investigadores y medios la vacuna rusa sputnikv debe aplicarse con precaución en personas con diabetes enfermedades renales hepáticas cardiacas entre otras a méxico podrían llegar 24 millones de dosis de esta vacuna,2452,Negativo
179979,2021-02-02,carlosloret,autoriza uso de emergencia de vacuna rusa contra covid sputnik v dosis que llegarán este mes,2439,Neutro
178304,2021-02-03,chuckiclampy,qué ganas tengo de que me pongan la vacuna rusa y que cuando el doctor me pregunte si me encuentro bien responderle con un yo encontrrarme perrrfectamente camarrrada doctorievski larga vida a lenin y a la gran madrre rusia y marcharme de allí cantando el himno de la urss,2423,Negativo
190459,2021-02-01,lillytellez,hasta el senador vasconcelos de morena sabe que la vacuna rusa es un fiasco,2422,Negativo
181660,2021-02-02,alanxelmundo,si alguien no quiere la vacuna rusa yo le entro,2410,Negativo
189770,2021-02-02,nanothompson,qué es the lancet la polémica revista camporista fan de los boliches y del indio que avala la vacuna rusa,2364,Neutro
58391,2021-01-24,donvocero,ya estaba vacunado hay tres opciones o no sirvió la vacuna china o desarrolla enfermedad leve o es puro pedo para no dar la cara por el reguero que trae en el país,2340,Negativo
196397,2021-01-28,salvinamusica,la vacuna rusa está valuada en 10 dólares y se pagaron 17 en tn,2330,Positivo
212822,2021-01-26,simpsonitomx,los simpson predicen la vacuna rusa en méxico sputnikvparaelpueblo,2323,Positivo
53579,2021-02-02,matimow,finalizado el circo negacionista con la vacuna sputnik v por la contundente publicación de the lancet prepárense para que comience ese mismo circo con la vacuna china que el gobierno argentino está cerca de adquirir,2302,Positivo
171680,2021-02-04,smilelalis,tendríamos la vacuna rusa pero nos gobierna un inepto se puso a crear una película de espías y se echó encima a los rusos es el único pendejo que se agarra con ee uu y rusia a la vez nuestra pésima relación internacional se debe a la poca preparación del gobierno,2301,Negativo
186212,2021-02-02,olivernashbb,yo después de que me den la vacuna rusa sputnik v,2289,Negativo
209701,2021-01-26,ferbelaunzaran,por qué decidió comprar de última hora la vacuna rusa y obligar a a dar permisos de importación aunque no cumple con los requisitos establecidos porque es la que está disponible lo importante es hacer campaña con la vacuna así carezca de garantías,2277,Negativo
179926,2021-02-02,brozoxmiswebs,último momento informa el subsecretario de salud hugo lópez la aprobación de cofepris para el uso de emergencia de la vacuna rusa sputnikv la cual podría llegar a méxico en los próximos días,2269,Negativo
172099,2021-02-04,cristobustos,mientras en argentina méxico o bolivia llevan semanas aplicando la vacuna rusa sputnik v en colombia hacen el gran anuncio que han comenzado negociaciones para su adquisición seguimos en la incertidumbre,2239,Negativo
168425,2021-02-05,piedrulces,dice héctor aguilar camín que la vacuna rusa solo sirve en rusos alguien sabe si don héctor es licenciado en algo este sí tiene cédula profesional o solo es otro hocicón ignorante como enrique krauze,2230,Negativo
208322,2021-01-26,garcimonero,el presidente no esta enfermo de covid es un mitómano quiere ver como nos distrae para desviar la atención en el desastre de su programa de vacunación y en que nos usarán de conejillos de indias para completar la face 3 de la vacuna rusa,2217,Negativo
54803,2021-01-30,mmisscupcakes,compras maquillaje por aliexpress y no te vas a vacunar porque no sabes cómo hicieron la vacuna china,2209,Negativo
212917,2021-01-26,vicfc7,seré breve según la evidencia usar la vacuna rusa es tan recomendable como construir una refinería en pleno 2021,2208,Positivo
203488,2021-01-27,edd_campe,la hacen tanto de a tos por la vacuna rusa que cuando se den cuenta de que funciona saldrán a pedir disculpas por generar pánico y desinformación no saldrán a hacerla de a tos por otra cosa como porque no son opositores son contreras a la 4t,2207,Negativo
206383,2021-01-27,daddycooljs,a ver de donde sacan a 24 millones de mexicanos pendejos que se quieran poner la vacuna rusa que nadie en todo el globo terráqueo quiere ni está aprobada,2183,Negativo
191011,2021-02-01,rochaperiodista,así andan algunos de estado de ánimo hace unos días carlos marín escribió que con la vacuna rusa argentinos y mexicanos éramos usados como pendejillos de indias y hoy cambia el discurso y pide contemplar a la sputnik v sin prejuicios,2150,Negativo
212714,2021-01-26,ponchogutz,oxford y astrazeneca confían en la vacuna rusa pero yo le creo a lilly téllez,2145,Negativo
173063,2021-02-03,tavo2366,no creo que la vacuna rusa pase los exigentes estándares del invima,2141,Negativo
57601,2021-01-26,carloselizondom,uno de los errores garrafales de este gobierno no haber comprado oportunamente la vacuna de moderna junto con pfizer las dos aprobadas en eu todavía hoy dicen no la necesitan prefieren la vacuna china no aprobada aún,2132,Negativo
177142,2021-02-03,iwolowitz,yo unos segundos después de recibir la vacuna rusa sputnik v,2120,Negativo
191610,2021-01-31,vivirsinalergia,porque es importante no tener sospechosismo de la vacuna rusa y abro hilo el centro nacional de investigación de epidemiología y microbiología gamaleya parte del ministerio de salud de rusia desarrolló,2115,Positivo
196862,2021-01-28,contracultural,bolivia recibiendo su vacuna rusa perú,2112,Positivo
196446,2021-01-28,mcmaricarmen,dice el secretario de hacienda g que méxico no va a comprar vacunas de segunda en relación a la vacuna rusa yo la verdad no sé si es de 2a 3a o sub 1a lo que sí sé es que la vacuna rusa no está aun avalada por la organización mundial de salud,2105,Negativo
193285,2021-01-30,mike_oviedo,buenas noticias comité de moléculas nuevas de la cofepris otorga el visto bueno para la vacuna rusa sputnik v quien no se la quiera poner que no se la ponga comprenla entonces,2083,Negativo
210506,2021-01-26,jenarovillamil,merkel ofrece apoyo a moscú para entrada de vacuna rusa sputnik v a ue,2054,Positivo
179658,2021-02-02,memovillarreal,tengo una tía que tiene más de 60 años le avisé de la aplicación de la vacuna contra el covid 19 me dijo no me la pondré porque el gobierno está poniendo la vacuna rusa y esa no sirve le pregunté qué de dónde sacó eso y me comparte la infodemia que promueve,2053,Negativo
199828,2021-01-28,proceso,entre los efectos secundarios más recurrentes tras la aplicación de la vacuna rusa sputnik v en argentina están cólicos renales trombosis y abscesos además se reportaron 12 eventos adversos serios,2033,Negativo
53419,2021-02-02,copano,que es esa locura de pensar que la vacuna china es de mala calidad cuando están rodeados de aparatos hechos en china el tema al final es qué hay personas que buscan y buscan argumentos para negarse a vacunarse un desastre de humanos,2029,Negativo
178422,2021-02-03,beatrizbandera3,qué nos apostamos a que terminamos vacunando con la vacuna rusa y con la de cuba,2004,Negativo
174521,2021-02-03,minervahdezmx,la campaña emprendida por la 4t en contra de mi compañera es una respuesta a los cuestionamientos que hizo por la vacuna rusa que compró este gobierno es una mujer íntegra ninguna difamación podrá contra ella,1975,Negativo
207888,2021-01-26,lillytellez,seriedad debería exigirle al gobierno pero a usted senadora le da miedo porque solo quiere quedar bien con el presidente a costa del pueblo la mandaron a pelear sin armas la vacuna rusa no tiene aval de la oms ni de la comunidad científica internacional,1957,Negativo
210806,2021-01-26,lajornadaonline,autorizó hoy el uso de emergencia de la vacuna rusa contra el covid19 sputnikv por lo que el siguiente paso es la firma del contrato con el fondo de inversión ruso informó,1952,Negativo
214851,2021-01-25,donporfifirio,mensaje del general quiero ver que vacunen en público a todo el gabinete y familia presidencial con la vacuna rusa antes de aplicarla al pueblo fin del comunicado,1944,Positivo
195203,2021-01-29,lillytellez,por qué los defienden la vacuna rusa que no cumple los requisitos sanitarios de la unión europea la fda la oms alemania y los demás países desarrollados y que no tiene permiso de venta de emergencia por ineptos perversos y arrastrados,1933,Negativo
171286,2021-02-04,rburhum,pueden reírse todo lo que quieran pero el avión con la vacuna rusa si llega a bolivia y nada detiene la vacunación aunque tengan que transportarla en un camión de pollo están vacunando hoy,1927,Negativo
173464,2021-02-03,eltiempo,colombia firmó acuerdo de confidencialidad para negociar vacuna rusa esto dijo el ministro de salud fernando ruiz,1918,Negativo
179805,2021-02-02,jucanoticias,pues la cofepris ya autorizo la vacuna rusa y ahora que capituló sigue,1889,Negativo
56251,2021-01-28,jorgevillenal,pilar mazzeti recibió oferta para compras vacuna de astra zeneca oxford a 7 dólares la dosis puestos en puerto peruano en 15 días es decir llegaría antes que la vacuna china el gobierno es el enemigo pilar mazzeti renuncia,1886,Neutro
